plot_id,F,M
1,46.3111380145,55.9505597015
2,52.5618448637,51.3913824057
3,31.21534937,34.1632406288
4,46.8188235294,48.8881188119
5,40.9748062016,40.7085514834
6,36.3522884882,36.8673883627
7,20.0061349693,21.1947194719
8,45.6230110159,49.6413721414
9,53.6184690158,49.5193089431
10,17.0942028986,19.9712230216
11,43.5150753769,43.3661971831
12,49.8317307692,48.9097103918
13,40.5245901639,40.0977542933
14,47.3554913295,45.1593780369
15,26.670235546,27.5236907731
16,25.8104265403,23.8113207547
17,48.176201373,47.5588526212
18,36.9635135135,43.5469522241
19,21.9785992218,20.3068783069
20,52.6244057052,44.1972789116
21,25.9748322148,22.7726218097
22,53.6470588235,54.5725308642
23,20.5644171779,18.9414634146
24,47.9144050104,39.3215031315
